longTermAdminSym,adminPttnCd,adminNm,hmPostNo,siDoCd,siGunGuCd,HDongCd,BDongCd,riCd,detailAddr,roadNmCd,gunmulMlno,gunmulSlno,fl,locTelNo_1,locTelNo_2,locTelNo_3,longTermPeribRgtDt,stpRptDt
11138000065,G33,붓다마을,3308,11,380,690,114,0,250번지 ,113804133182,41,0,,2,3156,7500,20090703,20090703
11138000090,A03,해피안,3411,11,380,560,105,0,7번지 54호 ,113804133145,27,2,,2,385,705,20090918,20090916
11138000093,A03,녹번실버,3382,11,380,510,102,0,31번지 14호 ,113804133297,5,10,,2,389,7875,20091008,20091008
11138000121,A04,로뎀요양원,3351,11,380,520,103,0,329번지 17호 ,113804133315,31,0,,2,357,6113,20100304,20100304
11138000128,A03,엘림요양원,3459,11,380,510,102,0,160번지 32호 ,113803005055,348,0,,2,357,9600,20100301,20100301
11138000195,A03,써니요양원,3448,11,380,632,109,0,,113804133254,26,0,,2,305,2385,20121022,20121022
11138000216,A03,마추미실버케어 응암점,3485,11,380,600,107,0,,113804133226,11,7,전,2,302,2282,20131004,20131004
11138000217,A03,노블케어스,3458,11,380,510,102,0,,113803005055,353,0,,2,391,6,20131108,20131108
11138000217,M31,노블케어스,3458,11,380,510,102,0,,113803005055,353,0,,2,391,6,20131108,20131108
11138000224,A03,노블타운 요양원,3459,11,380,510,102,0,,113803000007,35,0,,2,387,2200,20140407,20140407
11138000243,A03,은평요양원,3408,11,380,625,108,0,,113803100020,47,0,,2,388,709,20150421,20150421
11138000257,A04,(협)노인돌봄은평요양원,3452,11,380,632,109,0,,113803005053,306,0,3,70,8808,9929,20150731,20150731
11138000258,A03,수색실버케어,3489,11,380,650,101,0,,113803005054,272,1,,2,305,1188,20150817,20150817
11138000271,A04,참좋은요양원,3452,11,380,631,109,0,,113803005053,306,0,2,2,373,5371,20160205,20160205
11138000280,A04,주안요양원,3410,11,380,560,105,0,,113804133099,10,0,,2,356,6599,20160502,20160502
11138000355,A03,은평실버랜드요양원,3335,11,380,552,104,0,,113804133152,27,20,,2,892,3388,20190604,20190604
11138000379,A03,실비아요양원,3447,11,380,632,109,0,,113804133254,35,8,,2,303,7001,20200106,20200106
11138000397,A03,갈현효요양원,3329,11,380,551,104,0,,113803111001,270,0,1~3,2,355,1947,20201101,20201101
11138000402,A04,백련실버케어,3452,11,380,631,109,0,,113803005053,306,0,4,2,304,3667,20210101,20210101
11138000430,A04,사랑가득요양원1호,3502,11,380,650,101,0,,113804133121,5,3,5,2,305,1868,20220401,20220401
